OBJECTID,ED_ID,ED_ENGLISH,ED_GAEILGE,COUNTY,CONTAE,PROVINCE,CENTROID_X,CENTROID_Y,GUID_,CSOED_3409,OSIED_3441,CSOED_3409_LABEL,Shape__Area,Shape__Length
51,267158,THE WARD, ,DUBLIN,Baile Átha Cliath,Leinster,708916.697204128,742752.09622067,2AE196291CE813A3E055000000000001,04041,267158,The Ward,0.003335509148446,0.315849840487605
52,227091,WHITECHURCH,An Teampall Geal,WATERFORD,Port Láirge,Munster,615789.880913998,594513.215981773,2AE196291B7013A3E055000000000001,25036,227091,Whitechurch,0.001423642285065,0.235725061401311
53,128035,SINGLAND A,Saingeal A,LIMERICK,Luimneach,Munster,558938.077545108,656619.811340363,2AE19629180113A3E055000000000001,20036,128035,Singland A,4.1479436986e-05,0.028951366354649
54,137043,LONGFORD No. 1 URBAN, ,LONGFORD,An Longfort,Leinster,613217.098118786,775110.956059006,2AE19629192513A3E055000000000001,09001,137043,Longford No. 1 Urban,0.000239911242357,0.072425150066804
55,177058,MONAGHAN RURAL,Muineachán (Tuath),MONAGHAN,Muineachán,Ulster,667363.579185376,831488.759283404,2AE196291AA113A3E055000000000001,34063,177058,Monaghan Rural,0.003981354981248,0.504234463930153
56,37122,MOVEEN, ,CLARE,An Clár,Munster,484881.230929579,656685.272293437,2AE196291FB913A3E055000000000001,16097,37122,Moveen,0.001302688178085,0.198284078448577
57,27036,DERRIN, ,CAVAN,An Cabhán,Ulster,642575.053498688,793882.825178211,2AE196291E1013A3E055000000000001,32058,27036,Derrin,0.002050694450141,0.280659353161602
58,157109,KNOCK SOUTH, ,MAYO,Maigh Eo,Connacht,541652.069923407,782137.581890958,2AE19629198413A3E055000000000001,29098,157109,Knock South,0.003709386990727,0.424433688051763
59,67199,SILLERNA, ,GALWAY,Gaillimh,Connacht,458257.01554509,756681.485544422,2AE19629230B13A3E055000000000001,27038,67199,Sillerna,0.00318688394396,0.656773461685219
60,67011,ARDAMULLIVAN, ,GALWAY,Gaillimh,Connacht,546978.685405613,696143.947660173,2AE19629205A13A3E055000000000001,27081,67011,Ardamullivan,0.005597902201498,0.440624879606537
61,137033,GELSHAGH, ,LONGFORD,An Longfort,Leinster,625063.348512665,784392.42958418,2AE19629190213A3E055000000000001,09025,137033,Gelshagh,0.002151341333011,0.24985205336142
62,127064,DUNMOYLAN EAST,Dún Maoilín Thoir,LIMERICK,Luimneach,Munster,526130.024184246,643157.359761033,2AE19629179613A3E055000000000001,21116,127064,Dunmoylan East,0.002852273736226,0.400225670567298
63,197006,ATHLEAGUE EAST, ,ROSCOMMON,Ros Comáin,Connacht,587353.566528198,757214.533931081,2AE196291A9D13A3E055000000000001,30075,197006,Athleague East,0.00376293104614,0.383172469681313
64,247017,BALLYLARKIN, ,WEXFORD,Loch Garman,Leinster,720735.692022493,668257.232872469,2AE196291E4013A3E055000000000001,14045,247017,Ballylarkin,0.002352638056628,0.382894370074986
65,57061,EANYMORE, ,DONEGAL,Dún na nGall,Ulster,588558.947632258,883499.468303068,2AE1962920E913A3E055000000000001,33018,57061,Eanymore,0.003903635317318,0.411194651931842
66,107050,GARRYMORE, ,LAOIS,Laois,Leinster,643313.193871776,714425.40757059,2AE1962916D813A3E055000000000001,08056,107050,Garrymore,0.001604146518659,0.240608129201577
67,267023,BLACKROCK-NEWPARK, ,DUBLIN,Baile Átha Cliath,Leinster,721885.928019708,727829.506141546,2AE196291CC113A3E055000000000001,05013,267023,Blackrock-Newpark,6.7535690702e-05,0.035121911103793
68,217029,BORRISNOE,An Bhuiríos Nua,TIPPERARY,Tiobraid Árann,Munster,605354.450452613,679050.639864354,2AE196291C1A13A3E055000000000001,22053,217029,Borrisnoe,0.002809254814034,0.328358891180282
69,137024,DALYSTOWN, ,LONGFORD,An Longfort,Leinster,631054.988950365,783759.707043435,2AE1962918EA13A3E055000000000001,09022,137024,Dalystown,0.001216581736843,0.228834099275779
70,157096,KILKELLY, ,MAYO,Maigh Eo,Connacht,542828.310227917,790657.418303518,2AE19629193E13A3E055000000000001,29113,157096,Kilkelly,0.005571673227765,0.495259620975373
71,167016,CASTLEKEERAN, ,MEATH,An Mhí,Leinster,666895.927863215,778363.325576395,2AE19629185213A3E055000000000001,11025,167016,Castlekeeran,0.002197384049857,0.348364136216856
72,147034,WEST GATE,Geata Shráid na gCapall,LOUTH,Lú,Leinster,708272.489422886,775179.545436558,2AE19629191E13A3E055000000000001,10003,147034,West Gate,0.000290341865412,0.118869622929392
73,77062,DEELIS, ,KERRY,Ciarraí,Munster,462843.69814791,608650.241555935,2AE1962922CC13A3E055000000000001,19032,77062,Deelis,0.004403193001427,0.370143445962393
